"employeeNumber","email"
1002,"dmurphy@classicmodelcars.com"
1056,"mpatterso@classicmodelcars.com"
1076,"jfirrelli@classicmodelcars.com"
1088,"wpatterson@classicmodelcars.com"
1102,"gbondur@classicmodelcars.com"
1143,"abow@classicmodelcars.com"
1165,"ljennings@classicmodelcars.com"
1166,"lthompson@classicmodelcars.com"
1188,"jfirrelli@classicmodelcars.com"
1216,"spatterson@classicmodelcars.com"
1286,"ftseng@classicmodelcars.com"
1323,"gvanauf@classicmodelcars.com"
1337,"lbondur@classicmodelcars.com"
1370,"ghernande@classicmodelcars.com"
1401,"pcastillo@classicmodelcars.com"
1501,"lbott@classicmodelcars.com"
1504,"bjones@classicmodelcars.com"
1611,"afixter@classicmodelcars.com"
1612,"pmarsh@classicmodelcars.com"
1619,"tking@classicmodelcars.com"
1621,"mnishi@classicmodelcars.com"
1625,"ykato@classicmodelcars.com"
1702,"mgerard@classicmodelcars.com"
