"customerNumber","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit","capitalizedName"
103,"Schmitt","Carine ","40.32.2555","54, rue Royale",,"Nantes",,"44000","France",1370,21000.00,"Atelier Graphique"
112,"King","Jean","7025551838","8489 Strong St.",,"Las Vegas","NV","83030","USA",1166,71800.00,"Signal Gift Stores"
114,"Ferguson","Peter","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia",1611,117300.00,"Australian Collectors, Co."
119,"Labrune","Janine ","40.67.8555","67, rue des Cinquante Otages",,"Nantes",,"44000","France",1370,118200.00,"La Rochelle Gifts"
121,"Bergulfsen","Jonas ","07-98 9555","Erling Skakkes gate 78",,"Stavern",,"4110","Norway",1504,81700.00,"Baane Mini Imports"
124,"Nelson","Susan","4155551450","5677 Strong St.",,"San Rafael","CA","97562","USA",1165,210500.00,"Mini Gifts Distributors Ltd."
125,"Piestrzeniewicz","Zbyszek ","(26) 642-7555","ul. Filtrowa 68",,"Warszawa",,"01-012","Poland",,0.00,"Havel & Zbyszek Co"
128,"Keitel","Roland","+49 69 66 90 2555","Lyonerstr. 34",,"Frankfurt",,"60528","Germany",1504,59700.00,"Blauer See Auto, Co."
129,"Murphy","Julie","6505555787","5557 North Pendale Street",,"San Francisco","CA","94217","USA",1165,64600.00,"Mini Wheels Co."
131,"Lee","Kwai","2125557818","897 Long Airport Avenue",,"NYC","NY","10022","USA",1323,114900.00,"Land Of Toys Inc."
141,"Freyre","Diego ","(91) 555 94 44","C/ Moralzarzal, 86",,"Madrid",,"28034","Spain",1370,227600.00,"Euro+ Shopping Channel"
144,"Berglund","Christina ","0921-12 3555","Berguvsvägen  8",,"Luleå",,"S-958 22","Sweden",1504,53100.00,"Volvo Model Replicas, Co"
145,"Petersen","Jytte ","31 12 3555","Vinbæltet 34",,"Kobenhavn",,"1734","Denmark",1401,83400.00,"Danish Wholesale Imports"
146,"Saveley","Mary ","78.32.5555","2, rue du Commerce",,"Lyon",,"69004","France",1337,123900.00,"Saveley & Henriot, Co."
148,"Natividad","Eric","+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye","Singapore",,"079903","Singapore",1621,103800.00,"Dragon Souveniers, Ltd."
151,"Young","Jeff","2125557413","4092 Furth Circle","Suite 400","NYC","NY","10022","USA",1286,138500.00,"Muscle Machine Inc"
157,"Leong","Kelvin","2155551555","7586 Pompton St.",,"Allentown","PA","70267","USA",1216,100600.00,"Diecast Classics Inc."
161,"Hashimoto","Juri","6505556809","9408 Furth Circle",,"Burlingame","CA","94217","USA",1165,84600.00,"Technics Stores Inc."
166,"Victorino","Wendy","+65 224 1555","106 Linden Road Sandown","2nd Floor","Singapore",,"069045","Singapore",1612,97900.00,"Handji Gifts& Co"
167,"Oeztan","Veysel","+47 2267 3215","Brehmen St. 121","PR 334 Sentrum","Bergen",,"N 5804","Norway  ",1504,96800.00,"Herkku Gifts"
168,"Franco","Keith","2035557845","149 Spinnaker Dr.","Suite 101","New Haven","CT","97823","USA",1286,0.00,"American Souvenirs Inc"
169,"de Castro","Isabel ","(1) 356-5555","Estrada da saúde n. 58",,"Lisboa",,"1756","Portugal",,0.00,"Porto Imports Co."
171,"Rancé","Martine ","20.16.1555","184, chaussée de Tournai",,"Lille",,"59000","France",1370,82900.00,"Daedalus Designs Imports"
172,"Bertrand","Marie","(1) 42.34.2555","265, boulevard Charonne",,"Paris",,"75012","France",1337,84300.00,"La Corne D'Abondance, Co."
173,"Tseng","Jerry","6175555555","4658 Baden Av.",,"Cambridge","MA","51247","USA",1188,43400.00,"Cambridge Collectables Co."
175,"King","Julie","2035552570","25593 South Bay Ln.",,"Bridgewater","CT","97562","USA",1323,84300.00,"Gift Depot Inc."
177,"Kentary","Mory","+81 06 6342 5555","1-6-20 Dojima",,"Kita-ku","Osaka"," 530-0003","Japan",1621,81200.00,"Osaka Souveniers Co."
181,"Frick","Michael","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA",1286,76400.00,"Vitachrome Inc."
186,"Karttunen","Matti","90-224 8555","Keskuskatu 45",,"Helsinki",,"21240","Finland",1501,96500.00,"Toys Of Finland, Co."
187,"Ashworth","Rachel","(171) 555-1555","Fauntleroy Circus",,"Manchester",,"EC2 5NT","UK",1501,136800.00,"Av Stores, Co."
189,"Cassidy","Dean","+353 1862 1555","25 Maiden Lane","Floor No. 4","Dublin",,"2","Ireland",1504,69400.00,"Clover Collections, Co."
198,"Taylor","Leslie","6175558428","16780 Pompton St.",,"Brickhaven","MA","58339","USA",1216,23000.00,"Auto-Moto Classics Inc."
201,"Devon","Elizabeth","(171) 555-2282","12, Berkeley Gardens Blvd",,"Liverpool",,"WX1 6LT","UK",1501,92700.00,"Uk Collectables, Ltd."
202,"Tamuri","Yoshi ","(604) 555-3392","1900 Oak St.",,"Vancouver","BC","V3F 2K1","Canada",1323,90300.00,"Canadian Gift Exchange Network"
204,"Barajas","Miguel","6175557555","7635 Spinnaker Dr.",,"Brickhaven","MA","58339","USA",1188,68700.00,"Online Mini Collectables"
205,"Young","Julie","6265557265","78934 Hillside Dr.",,"Pasadena","CA","90003","USA",1166,90700.00,"Toys4grownups.Com"
206,"Walker","Brydey","+612 9411 1555","Suntec Tower Three","8 Temasek","Singapore",,"038988","Singapore",,0.00,"Asian Shopping Network, Co"
209,"Citeaux","Frédérique ","88.60.1555","24, place Kléber",,"Strasbourg",,"67000","France",1370,53800.00,"Mini Caravy"
211,"Gao","Mike","+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",,,"Hong Kong",1621,58600.00,"King Kong Collectables, Co."
216,"Saavedra","Eduardo ","(93) 203 4555","Rambla de Cataluña, 23",,"Barcelona",,"08022","Spain",1702,60300.00,"Enaco Distributors"
219,"Young","Mary","3105552373","4097 Douglas Av.",,"Glendale","CA","92561","USA",1166,11000.00,"Boards & Toys Co."
223,"Kloss","Horst ","0372-555188","Taucherstraße 10",,"Cunewalde",,"01307","Germany",,0.00,"Natürlich Autos"
227,"Ibsen","Palle","86 21 3555","Smagsloget 45",,"Århus",,"8200","Denmark",1401,120800.00,"Heintze Collectables"
233,"Fresnière","Jean ","(514) 555-8054","43 rue St. Laurent",,"Montréal","Québec","H1J 1C3","Canada",1286,48700.00,"Québec Home Shopping Network"
237,"Camino","Alejandra ","(91) 745 6555","Gran Vía, 1",,"Madrid",,"28001","Spain",,0.00,"Ang Resellers"
239,"Thompson","Valarie","7605558146","361 Furth Circle",,"San Diego","CA","91217","USA",1166,105000.00,"Collectable Mini Designs Co."
240,"Bennett","Helen ","(198) 555-8888","Garden House","Crowther Way 23","Cowes","Isle of Wight","PO31 7PJ","UK",1501,93900.00,"Giftsbymail.Co.Uk"
242,"Roulet","Annette ","61.77.6555","1 rue Alsace-Lorraine",,"Toulouse",,"31000","France",1370,61100.00,"Alpha Cognac"
247,"Messner","Renate ","069-0555984","Magazinweg 7",,"Frankfurt",,"60528","Germany",,0.00,"Messner Shopping Network"
249,"Accorti","Paolo ","011-4988555","Via Monte Bianco 34",,"Torino",,"10100","Italy",1401,113000.00,"Amica Models & Co."
250,"Da Silva","Daniel","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,"Paris",,"75508","France",1337,68100.00,"Lyon Souveniers"
256,"Tonini","Daniel ","30.59.8555","67, avenue de l'Europe",,"Versailles",,"78000","France",1370,77900.00,"Auto Associés & Cie."
259,"Pfalzheim","Henriette ","0221-5554327","Mehrheimerstr. 369",,"Köln",,"50739","Germany",1504,120400.00,"Toms Spezialitäten, Ltd"
260,"Lincoln","Elizabeth ","(604) 555-4555","23 Tsawassen Blvd.",,"Tsawassen","BC","T2F 8M4","Canada",1323,89600.00,"Royal Canadian Collectables, Ltd."
273,"Franken","Peter ","089-0877555","Berliner Platz 43",,"München",,"80805","Germany",,0.00,"Franken Gifts, Co"
276,"O'Hara","Anna","02 9936 8555","201 Miller Street","Level 15","North Sydney","NSW","2060","Australia",1611,107800.00,"Anna'S Decorations, Ltd"
278,"Rovelli","Giovanni ","035-640555","Via Ludovico il Moro 22",,"Bergamo",,"24100","Italy",1401,119600.00,"Rovelli Gifts"
282,"Huxley","Adrian","+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy","Chatswood","NSW","2067","Australia",1611,93300.00,"Souveniers And Things Co."
286,"Hernandez","Marta","6175558555","39323 Spinnaker Dr.",,"Cambridge","MA","51247","USA",1216,123700.00,"Marta'S Replicas Co."
293,"Harrison","Ed","+41 26 425 50 01","Rte des Arsenaux 41 ",,"Fribourg",,"1700","Switzerland",,0.00,"Bg&E Collectables"
298,"Holz","Mihael","0897-034555","Grenzacherweg 237",,"Genève",,"1203","Switzerland",1702,141300.00,"Vida Sport, Ltd"
299,"Klaeboe","Jan","+47 2212 1555","Drammensveien 126A","PB 211 Sentrum","Oslo",,"N 0106","Norway  ",1504,95100.00,"Norway Gifts By Mail, Co."
303,"Schuyler","Bradley","+31 20 491 9555","Kingsfordweg 151",,"Amsterdam",,"1043 GR","Netherlands",,0.00,"Schuyler Imports"
307,"Andersen","Mel","030-0074555","Obere Str. 57",,"Berlin",,"12209","Germany",,0.00,"Der Hund Imports"
311,"Koskitalo","Pirkko","981-443655","Torikatu 38",,"Oulu",,"90110","Finland",1501,90500.00,"Oulu Toy Supplies, Inc."
314,"Dewey","Catherine ","(02) 5554 67","Rue Joseph-Bens 532",,"Bruxelles",,"B-1180","Belgium",1401,79900.00,"Petit Auto"
319,"Frick","Steve","9145554562","3758 North Pendale Street",,"White Plains","NY","24067","USA",1323,102700.00,"Mini Classics"
