"RANKINDEX","customerNumber","customerName","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit"
1,141,"Euro+ Shopping Channel","Freyre","Diego ","(91) 555 94 44","C/ Moralzarzal, 86",,"Madrid",,"28034","Spain",1370,227600.00
2,124,"Mini Gifts Distributors Ltd.","Nelson","Susan","4155551450","5677 Strong St.",,"San Rafael","CA","97562","USA",1165,210500.00
3,298,"Vida Sport, Ltd","Holz","Mihael","0897-034555","Grenzacherweg 237",,"Genève",,"1203","Switzerland",1702,141300.00
4,151,"Muscle Machine Inc","Young","Jeff","2125557413","4092 Furth Circle","Suite 400","NYC","NY","10022","USA",1286,138500.00
5,187,"AV Stores, Co.","Ashworth","Rachel","(171) 555-1555","Fauntleroy Circus",,"Manchester",,"EC2 5NT","UK",1501,136800.00
6,146,"Saveley & Henriot, Co.","Saveley","Mary ","78.32.5555","2, rue du Commerce",,"Lyon",,"69004","France",1337,123900.00
7,286,"Marta's Replicas Co.","Hernandez","Marta","6175558555","39323 Spinnaker Dr.",,"Cambridge","MA","51247","USA",1216,123700.00
8,386,"L'ordine Souveniers","Moroni","Maurizio ","0522-556555","Strada Provinciale 124",,"Reggio Emilia",,"42100","Italy",1401,121400.00
9,227,"Heintze Collectables","Ibsen","Palle","86 21 3555","Smagsloget 45",,"Århus",,"8200","Denmark",1401,120800.00
10,259,"Toms Spezialitäten, Ltd","Pfalzheim","Henriette ","0221-5554327","Mehrheimerstr. 369",,"Köln",,"50739","Germany",1504,120400.00
11,278,"Rovelli Gifts","Rovelli","Giovanni ","035-640555","Via Ludovico il Moro 22",,"Bergamo",,"24100","Italy",1401,119600.00
12,119,"La Rochelle Gifts","Labrune","Janine ","40.67.8555","67, rue des Cinquante Otages",,"Nantes",,"44000","France",1370,118200.00
13,114,"Australian Collectors, Co.","Ferguson","Peter","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia",1611,117300.00
14,448,"Scandinavian Gift Ideas","Larsson","Martha","0695-34 6555","Åkergatan 24",,"Bräcke",,"S-844 67","Sweden",1504,116400.00
15,131,"Land of Toys Inc.","Lee","Kwai","2125557818","897 Long Airport Avenue",,"NYC","NY","10022","USA",1323,114900.00
16,363,"Online Diecast Creations Co.","Young","Dorothy","6035558647","2304 Long Airport Avenue",,"Nashua","NH","62005","USA",1216,114200.00
17,249,"Amica Models & Co.","Accorti","Paolo ","011-4988555","Via Monte Bianco 34",,"Torino",,"10100","Italy",1401,113000.00
18,496,"Kelly's Gift Shop","Snowden","Tony","+64 9 5555500","Arenales 1938 3'A'",,"Auckland  ",,,"New Zealand",1612,110000.00
19,276,"Anna's Decorations, Ltd","O'Hara","Anna","02 9936 8555","201 Miller Street","Level 15","North Sydney","NSW","2060","Australia",1611,107800.00
20,239,"Collectable Mini Designs Co.","Thompson","Valarie","7605558146","361 Furth Circle",,"San Diego","CA","91217","USA",1166,105000.00
