"customerNumber","customerName","phone","addressLine1","addressLine2","city","state","postalCode","country","salesRepEmployeeNumber","creditLimit","customerFullName"
282,"Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy","Chatswood","NSW","2067","Australia",1611,93300.00,"Adrian Huxley"
398,"Tokyo Collectables, Ltd","+81 3 3584 0555","2-2-8 Roppongi",,"Minato-ku","Tokyo","106-0032","Japan",1621,94400.00,"Akiko Shimamura"
237,"ANG Resellers","(91) 745 6555","Gran Vía, 1",,"Madrid",,"28001","Spain",,0.00,"Alejandra  Camino"
443,"Feuer Online Stores, Inc","0342-555176","Heerstr. 22",,"Leipzig",,"04179","Germany",,0.00,"Alexander  Feuer"
480,"Kremlin Collectables, Co.","+7 812 293 0521","2 Pobedy Square",,"Saint Petersburg",,"196143","Russia",,0.00,"Alexander  Semenov"
379,"Collectables For Less Inc.","6175558555","7825 Douglas Av.",,"Brickhaven","MA","58339","USA",1188,70700.00,"Allen Nelson"
324,"Stylish Desk Decors, Co.","(171) 555-0297","35 King George",,"London",,"WX3 6FW","UK",1501,77000.00,"Ann  Brown"
276,"Anna's Decorations, Ltd","02 9936 8555","201 Miller Street","Level 15","North Sydney","NSW","2060","Australia",1611,107800.00,"Anna O'Hara"
242,"Alpha Cognac","61.77.6555","1 rue Alsace-Lorraine",,"Toulouse",,"31000","France",1370,61100.00,"Annette  Roulet"
356,"SAR Distributors, Co","+27 21 550 3555","1250 Pretorius Street",,"Hatfield","Pretoria","0028","South Africa",,0.00,"Armand Kuger"
385,"Cruz & Sons Co.","+63 2 555 3587","15 McCallum Street","NatWest Center #13-03","Makati City",,"1227 MM","Philippines",1621,81500.00,"Arnold Cruz"
333,"Australian Gift Network, Co","61-7-3844-6555","31 Duncan St. West End",,"South Brisbane","Queensland","4101","Australia",1611,51600.00,"Ben Calaghan"
303,"Schuyler Imports","+31 20 491 9555","Kingsfordweg 151",,"Amsterdam",,"1043 GR","Netherlands",,0.00,"Bradley Schuyler"
376,"Precious Collectables","0452-076555","Hauptstr. 29",,"Bern",,"3012","Switzerland",1702,0.00,"Braun Urs"
347,"Men 'R' US Retailers, Ltd.","2155554369","6047 Douglas Av.",,"Los Angeles","CA","91003","USA",1166,57700.00,"Brian Chandler"
