"customerNumber","customerName","contactLastName","contactFirstName","phone","addressLine1","addressLine2","city","state","country","salesRepEmployeeNumber","creditLimit","trimmedPostalcode"
103,"Atelier graphique","Schmitt","Carine ","40.32.2555","54, rue Royale",,"Nantes",,"France",1370,21000.00,44000
112,"Signal Gift Stores","King","Jean","7025551838","8489 Strong St.",,"Las Vegas","NV","USA",1166,71800.00,83030
114,"Australian Collectors, Co.","Ferguson","Peter","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","Australia",1611,117300.00,3004
119,"La Rochelle Gifts","Labrune","Janine ","40.67.8555","67, rue des Cinquante Otages",,"Nantes",,"France",1370,118200.00,44000
121,"Baane Mini Imports","Bergulfsen","Jonas ","07-98 9555","Erling Skakkes gate 78",,"Stavern",,"Norway",1504,81700.00,4110
124,"Mini Gifts Distributors Ltd.","Nelson","Susan","4155551450","5677 Strong St.",,"San Rafael","CA","USA",1165,210500.00,97562
125,"Havel & Zbyszek Co","Piestrzeniewicz","Zbyszek ","(26) 642-7555","ul. Filtrowa 68",,"Warszawa",,"Poland",,0.00,1
128,"Blauer See Auto, Co.","Keitel","Roland","+49 69 66 90 2555","Lyonerstr. 34",,"Frankfurt",,"Germany",1504,59700.00,60528
129,"Mini Wheels Co.","Murphy","Julie","6505555787","5557 North Pendale Street",,"San Francisco","CA","USA",1165,64600.00,94217
131,"Land of Toys Inc.","Lee","Kwai","2125557818","897 Long Airport Avenue",,"NYC","NY","USA",1323,114900.00,10022
141,"Euro+ Shopping Channel","Freyre","Diego ","(91) 555 94 44","C/ Moralzarzal, 86",,"Madrid",,"Spain",1370,227600.00,28034
144,"Volvo Model Replicas, Co","Berglund","Christina ","0921-12 3555","Berguvsvägen  8",,"Luleå",,"Sweden",1504,53100.00,0
145,"Danish Wholesale Imports","Petersen","Jytte ","31 12 3555","Vinbæltet 34",,"Kobenhavn",,"Denmark",1401,83400.00,1734
146,"Saveley & Henriot, Co.","Saveley","Mary ","78.32.5555","2, rue du Commerce",,"Lyon",,"France",1337,123900.00,69004
148,"Dragon Souveniers, Ltd.","Natividad","Eric","+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye","Singapore",,"Singapore",1621,103800.00,7990
151,"Muscle Machine Inc","Young","Jeff","2125557413","4092 Furth Circle","Suite 400","NYC","NY","USA",1286,138500.00,10022
157,"Diecast Classics Inc.","Leong","Kelvin","2155551555","7586 Pompton St.",,"Allentown","PA","USA",1216,100600.00,70267
161,"Technics Stores Inc.","Hashimoto","Juri","6505556809","9408 Furth Circle",,"Burlingame","CA","USA",1165,84600.00,94217
166,"Handji Gifts& Co","Victorino","Wendy","+65 224 1555","106 Linden Road Sandown","2nd Floor","Singapore",,"Singapore",1612,97900.00,6904
167,"Herkku Gifts","Oeztan","Veysel","+47 2267 3215","Brehmen St. 121","PR 334 Sentrum","Bergen",,"Norway  ",1504,96800.00,0
168,"American Souvenirs Inc","Franco","Keith","2035557845","149 Spinnaker Dr.","Suite 101","New Haven","CT","USA",1286,0.00,97823
169,"Porto Imports Co.","de Castro","Isabel ","(1) 356-5555","Estrada da saúde n. 58",,"Lisboa",,"Portugal",,0.00,1756
171,"Daedalus Designs Imports","Rancé","Martine ","20.16.1555","184, chaussée de Tournai",,"Lille",,"France",1370,82900.00,59000
172,"La Corne D'abondance, Co.","Bertrand","Marie","(1) 42.34.2555","265, boulevard Charonne",,"Paris",,"France",1337,84300.00,75012
173,"Cambridge Collectables Co.","Tseng","Jerry","6175555555","4658 Baden Av.",,"Cambridge","MA","USA",1188,43400.00,51247
175,"Gift Depot Inc.","King","Julie","2035552570","25593 South Bay Ln.",,"Bridgewater","CT","USA",1323,84300.00,97562
177,"Osaka Souveniers Co.","Kentary","Mory","+81 06 6342 5555","1-6-20 Dojima",,"Kita-ku","Osaka","Japan",1621,81200.00,530
181,"Vitachrome Inc.","Frick","Michael","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","USA",1286,76400.00,10022
186,"Toys of Finland, Co.","Karttunen","Matti","90-224 8555","Keskuskatu 45",,"Helsinki",,"Finland",1501,96500.00,21240
187,"AV Stores, Co.","Ashworth","Rachel","(171) 555-1555","Fauntleroy Circus",,"Manchester",,"UK",1501,136800.00,0
189,"Clover Collections, Co.","Cassidy","Dean","+353 1862 1555","25 Maiden Lane","Floor No. 4","Dublin",,"Ireland",1504,69400.00,2
198,"Auto-Moto Classics Inc.","Taylor","Leslie","6175558428","16780 Pompton St.",,"Brickhaven","MA","USA",1216,23000.00,58339
201,"UK Collectables, Ltd.","Devon","Elizabeth","(171) 555-2282","12, Berkeley Gardens Blvd",,"Liverpool",,"UK",1501,92700.00,0
202,"Canadian Gift Exchange Network","Tamuri","Yoshi ","(604) 555-3392","1900 Oak St.",,"Vancouver","BC","Canada",1323,90300.00,0
204,"Online Mini Collectables","Barajas","Miguel","6175557555","7635 Spinnaker Dr.",,"Brickhaven","MA","USA",1188,68700.00,58339
205,"Toys4GrownUps.com","Young","Julie","6265557265","78934 Hillside Dr.",,"Pasadena","CA","USA",1166,90700.00,90003
206,"Asian Shopping Network, Co","Walker","Brydey","+612 9411 1555","Suntec Tower Three","8 Temasek","Singapore",,"Singapore",,0.00,3898
209,"Mini Caravy","Citeaux","Frédérique ","88.60.1555","24, place Kléber",,"Strasbourg",,"France",1370,53800.00,67000
211,"King Kong Collectables, Co.","Gao","Mike","+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",,"Hong Kong",1621,58600.00,
216,"Enaco Distributors","Saavedra","Eduardo ","(93) 203 4555","Rambla de Cataluña, 23",,"Barcelona",,"Spain",1702,60300.00,8022
219,"Boards & Toys Co.","Young","Mary","3105552373","4097 Douglas Av.",,"Glendale","CA","USA",1166,11000.00,92561
223,"Natürlich Autos","Kloss","Horst ","0372-555188","Taucherstraße 10",,"Cunewalde",,"Germany",,0.00,1307
227,"Heintze Collectables","Ibsen","Palle","86 21 3555","Smagsloget 45",,"Århus",,"Denmark",1401,120800.00,8200
233,"Québec Home Shopping Network","Fresnière","Jean ","(514) 555-8054","43 rue St. Laurent",,"Montréal","Québec","Canada",1286,48700.00,0
237,"ANG Resellers","Camino","Alejandra ","(91) 745 6555","Gran Vía, 1",,"Madrid",,"Spain",,0.00,28001
239,"Collectable Mini Designs Co.","Thompson","Valarie","7605558146","361 Furth Circle",,"San Diego","CA","USA",1166,105000.00,91217
240,"giftsbymail.co.uk","Bennett","Helen ","(198) 555-8888","Garden House","Crowther Way 23","Cowes","Isle of Wight","UK",1501,93900.00,0
242,"Alpha Cognac","Roulet","Annette ","61.77.6555","1 rue Alsace-Lorraine",,"Toulouse",,"France",1370,61100.00,31000
247,"Messner Shopping Network","Messner","Renate ","069-0555984","Magazinweg 7",,"Frankfurt",,"Germany",,0.00,60528
249,"Amica Models & Co.","Accorti","Paolo ","011-4988555","Via Monte Bianco 34",,"Torino",,"Italy",1401,113000.00,10100
250,"Lyon Souveniers","Da Silva","Daniel","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,"Paris",,"France",1337,68100.00,75508
256,"Auto Associés & Cie.","Tonini","Daniel ","30.59.8555","67, avenue de l'Europe",,"Versailles",,"France",1370,77900.00,78000
259,"Toms Spezialitäten, Ltd","Pfalzheim","Henriette ","0221-5554327","Mehrheimerstr. 369",,"Köln",,"Germany",1504,120400.00,50739
260,"Royal Canadian Collectables, Ltd.","Lincoln","Elizabeth ","(604) 555-4555","23 Tsawassen Blvd.",,"Tsawassen","BC","Canada",1323,89600.00,0
273,"Franken Gifts, Co","Franken","Peter ","089-0877555","Berliner Platz 43",,"München",,"Germany",,0.00,80805
276,"Anna's Decorations, Ltd","O'Hara","Anna","02 9936 8555","201 Miller Street","Level 15","North Sydney","NSW","Australia",1611,107800.00,2060
278,"Rovelli Gifts","Rovelli","Giovanni ","035-640555","Via Ludovico il Moro 22",,"Bergamo",,"Italy",1401,119600.00,24100
282,"Souveniers And Things Co.","Huxley","Adrian","+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy","Chatswood","NSW","Australia",1611,93300.00,2067
286,"Marta's Replicas Co.","Hernandez","Marta","6175558555","39323 Spinnaker Dr.",,"Cambridge","MA","USA",1216,123700.00,51247
293,"BG&E Collectables","Harrison","Ed","+41 26 425 50 01","Rte des Arsenaux 41 ",,"Fribourg",,"Switzerland",,0.00,1700
298,"Vida Sport, Ltd","Holz","Mihael","0897-034555","Grenzacherweg 237",,"Genève",,"Switzerland",1702,141300.00,1203
299,"Norway Gifts By Mail, Co.","Klaeboe","Jan","+47 2212 1555","Drammensveien 126A","PB 211 Sentrum","Oslo",,"Norway  ",1504,95100.00,0
303,"Schuyler Imports","Schuyler","Bradley","+31 20 491 9555","Kingsfordweg 151",,"Amsterdam",,"Netherlands",,0.00,1043
307,"Der Hund Imports","Andersen","Mel","030-0074555","Obere Str. 57",,"Berlin",,"Germany",,0.00,12209
311,"Oulu Toy Supplies, Inc.","Koskitalo","Pirkko","981-443655","Torikatu 38",,"Oulu",,"Finland",1501,90500.00,90110
314,"Petit Auto","Dewey","Catherine ","(02) 5554 67","Rue Joseph-Bens 532",,"Bruxelles",,"Belgium",1401,79900.00,0
319,"Mini Classics","Frick","Steve","9145554562","3758 North Pendale Street",,"White Plains","NY","USA",1323,102700.00,24067
320,"Mini Creations Ltd.","Huang","Wing","5085559555","4575 Hillside Dr.",,"New Bedford","MA","USA",1188,94500.00,50553
321,"Corporate Gift Ideas Co.","Brown","Julie","6505551386","7734 Strong St.",,"San Francisco","CA","USA",1165,105000.00,94217
323,"Down Under Souveniers, Inc","Graham","Mike","+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",,"New Zealand",1612,88000.00,
324,"Stylish Desk Decors, Co.","Brown","Ann ","(171) 555-0297","35 King George",,"London",,"UK",1501,77000.00,0
328,"Tekni Collectables Inc.","Brown","William","2015559350","7476 Moss Rd.",,"Newark","NJ","USA",1323,43000.00,94019
333,"Australian Gift Network, Co","Calaghan","Ben","61-7-3844-6555","31 Duncan St. West End",,"South Brisbane","Queensland","Australia",1611,51600.00,4101
334,"Suominen Souveniers","Suominen","Kalle","+358 9 8045 555","Software Engineering Center","SEC Oy","Espoo",,"Finland",1501,98800.00,0
335,"Cramer Spezialitäten, Ltd","Cramer","Philip ","0555-09555","Maubelstr. 90",,"Brandenburg",,"Germany",,0.00,14776
339,"Classic Gift Ideas, Inc","Cervantes","Francisca","2155554695","782 First Street",,"Philadelphia","PA","USA",1188,81100.00,71270
344,"CAF Imports","Fernandez","Jesus","+34 913 728 555","Merchants House","27-30 Merchant's Quay","Madrid",,"Spain",1702,59600.00,28023
347,"Men 'R' US Retailers, Ltd.","Chandler","Brian","2155554369","6047 Douglas Av.",,"Los Angeles","CA","USA",1166,57700.00,91003
348,"Asian Treasures, Inc.","McKenna","Patricia ","2967 555","8 Johnstown Road",,"Cork","Co. Cork","Ireland",,0.00,
350,"Marseille Mini Autos","Lebihan","Laurence ","91.24.4555","12, rue des Bouchers",,"Marseille",,"France",1337,65000.00,13008
353,"Reims Collectables","Henriot","Paul ","26.47.1555","59 rue de l'Abbaye",,"Reims",,"France",1337,81100.00,51100
356,"SAR Distributors, Co","Kuger","Armand","+27 21 550 3555","1250 Pretorius Street",,"Hatfield","Pretoria","South Africa",,0.00,28
357,"GiftsForHim.com","MacKinlay","Wales","64-9-3763555","199 Great North Road",,"Auckland",,"New Zealand",1612,77700.00,
361,"Kommission Auto","Josephs","Karin","0251-555259","Luisenstr. 48",,"Münster",,"Germany",,0.00,44087
362,"Gifts4AllAges.com","Yoshido","Juri","6175559555","8616 Spinnaker Dr.",,"Boston","MA","USA",1216,41900.00,51003
363,"Online Diecast Creations Co.","Young","Dorothy","6035558647","2304 Long Airport Avenue",,"Nashua","NH","USA",1216,114200.00,62005
369,"Lisboa Souveniers, Inc","Rodriguez","Lino ","(1) 354-2555","Jardim das rosas n. 32",,"Lisboa",,"Portugal",,0.00,1675
376,"Precious Collectables","Urs","Braun","0452-076555","Hauptstr. 29",,"Bern",,"Switzerland",1702,0.00,3012
379,"Collectables For Less Inc.","Nelson","Allen","6175558555","7825 Douglas Av.",,"Brickhaven","MA","USA",1188,70700.00,58339
381,"Royale Belge","Cartrain","Pascale ","(071) 23 67 2555","Boulevard Tirou, 255",,"Charleroi",,"Belgium",1401,23500.00,0
382,"Salzburg Collectables","Pipps","Georg ","6562-9555","Geislweg 14",,"Salzburg",,"Austria",1401,71700.00,5020
385,"Cruz & Sons Co.","Cruz","Arnold","+63 2 555 3587","15 McCallum Street","NatWest Center #13-03","Makati City",,"Philippines",1621,81500.00,1227
386,"L'ordine Souveniers","Moroni","Maurizio ","0522-556555","Strada Provinciale 124",,"Reggio Emilia",,"Italy",1401,121400.00,42100
398,"Tokyo Collectables, Ltd","Shimamura","Akiko","+81 3 3584 0555","2-2-8 Roppongi",,"Minato-ku","Tokyo","Japan",1621,94400.00,106
406,"Auto Canal+ Petit","Perrier","Dominique","(1) 47.55.6555","25, rue Lauriston",,"Paris",,"France",1337,95000.00,75016
409,"Stuttgart Collectable Exchange","Müller","Rita ","0711-555361","Adenauerallee 900",,"Stuttgart",,"Germany",,0.00,70563
412,"Extreme Desk Decorations, Ltd","McRoy","Sarah","04 499 9555","101 Lambton Quay","Level 11","Wellington",,"New Zealand",1612,86800.00,
415,"Bavarian Collectables Imports, Co.","Donnermeyer","Michael"," +49 89 61 08 9555","Hansastr. 15",,"Munich",,"Germany",1504,77000.00,80686
